post url,post title,post price,post location
https://newyork.craigslist.org/brk/apa/d/brooklyn-beautiful-bd-15-bth-duplex-in/7694913954.html,"BEAUTIFUL 1 BD 1.5 BTH DUPLEX IN CROWN HEIGHTS!! BIG BASEMENT, NO FEE!","$3,000",Crown Heights
https://newyork.craigslist.org/brk/apa/d/brooklyn-stylish-bed-bath-in-bushwick/7694913825.html,"STYLISH 1 BED 1 BATH IN BUSHWICK!! PRIVATE PATIO, BLUETOOTH, NO FEE!","$2,600",Bushwick
https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-bed-bath-in-bushwick/7694914077.html,"CHARMING 2 BED 1 BATH IN BUSHWICK!! SPACIOUS WOOD FINISHED, NO FEE!!","$3,000",Bushwick
https://newyork.craigslist.org/que/apa/d/forest-hills-centrally-located-br-ba-in/7694913160.html,Centrally Located 1 BR 1 BA in Forest Hills,"$2,275",queens
https://newyork.craigslist.org/brk/apa/d/brooklyn-bedroom-washer-dryer/7694912099.html,"2 Bedroom W/ Washer/Dryer, Dishwasher, Granite Countertops","$2,700",Park Slope
https://newyork.craigslist.org/mnh/roo/d/new-york-producer-offering-housing-to/7690259225.html,Producer offering Housing to Onlyfans females,$150,Upper West Side
https://newyork.craigslist.org/mnh/apa/d/new-york-private-room-for-rent/7694904897.html,Private room for rent,"$3,200",Upper East Side
https://newyork.craigslist.org/brk/apa/d/brooklyn-urban-delightcharming-duplex/7694899656.html,URBAN DELIGHT🔥CHARMING DUPLEX😍,"$3,000",CROWN HEIGHTS 📍📍🔥🔥
https://newyork.craigslist.org/que/apa/d/brooklyn-luxurygymelevatorroof/7694899089.html,LUXURY🔥GYM🏋️‍♀️ELEVATOR🛗ROOF DECK🏙PARKING🚗,"$2,600",BEDFORD STUYVESANT/BUSHWICK
https://newyork.craigslist.org/mnh/apa/d/new-york-dorm-style-flat-pvt-entrance/7694894919.html,Dorm Style Flat PVT Entrance PVT Room CUNY 15min Columbia Univ 20mins,$500,Upper West Side
https://newyork.craigslist.org/mnh/apa/d/new-york-strivers-row-studio-apt/7694894715.html,Strivers Row Studio Apt Columbia 20mins CUNY 10mins,"$1,900",Upper West Side
https://newyork.craigslist.org/brx/apa/d/new-york-3000-mo-central-prk-studio/7694889311.html,"$3,000/mo central prk studio","$3,000",New York
https://newyork.craigslist.org/brk/apa/d/brooklyn-bushwick-bedroom-near-train/7694878112.html,Bushwick 2 Bedroom Near L Train,"$2,700",Bushwick
https://newyork.craigslist.org/brk/apa/d/brooklyn-east-williamsburg-renovated/7694872706.html,East Williamsburg Renovated Corner 2 Bedroom Loft,"$5,000",Williamsburg
